Threshold,False Positive Rate (x),True Positive Rate (y)
0.722000,0.046115,0.806398
0.723000,0.046115,0.806398
0.724000,0.045700,0.805983
0.725000,0.045700,0.805567
0.726000,0.044454,0.804736
0.727000,0.044038,0.804321
0.728000,0.044038,0.803905
0.729000,0.044038,0.803905
0.730000,0.044038,0.803490
0.731000,0.044038,0.801413
0.732000,0.044038,0.800997
0.733000,0.044038,0.799751
0.734000,0.043623,0.798504
0.735000,0.043623,0.797258
0.736000,0.043207,0.797258
0.737000,0.043207,0.796843
0.738000,0.042792,0.795596
0.739000,0.042792,0.794765
0.740000,0.041961,0.794350
0.741000,0.041545,0.793519
0.742000,0.040715,0.793519
0.743000,0.040715,0.793103
0.744000,0.040715,0.792273
0.745000,0.040715,0.791857
0.746000,0.040715,0.790195
0.747000,0.040299,0.789364
0.748000,0.040299,0.788949
0.749000,0.040299,0.788118
0.750000,0.040299,0.787703
0.751000,0.040299,0.785210
0.752000,0.039884,0.783963
0.753000,0.039884,0.783548
0.754000,0.039884,0.782717
0.755000,0.039468,0.782717
0.756000,0.039053,0.782302
0.757000,0.039053,0.781886
0.758000,0.039053,0.781886
0.759000,0.039053,0.779809
0.760000,0.038637,0.779393
0.761000,0.038637,0.778978
0.762000,0.038637,0.778978
0.763000,0.038637,0.778563
0.764000,0.038637,0.777316
0.765000,0.038222,0.777316
0.766000,0.038222,0.776901
0.767000,0.037806,0.776485
0.768000,0.037806,0.775654
0.769000,0.037391,0.775239
0.770000,0.037391,0.773993
0.771000,0.037391,0.773993
0.772000,0.036560,0.772331
0.773000,0.036560,0.772331
0.774000,0.036145,0.770669
0.775000,0.036145,0.770253
0.776000,0.035729,0.769838
0.777000,0.035729,0.768176
0.778000,0.035314,0.767345
0.779000,0.035314,0.767345
0.780000,0.035314,0.766514
0.781000,0.035314,0.765268
0.782000,0.034898,0.764853
0.783000,0.034898,0.764853
0.784000,0.034483,0.764853
0.785000,0.034483,0.764437
0.786000,0.034483,0.764022
0.787000,0.034483,0.762775
0.788000,0.034483,0.761944
0.789000,0.034483,0.761529
0.790000,0.034483,0.759452
0.791000,0.034483,0.758205
0.792000,0.034483,0.757790
0.793000,0.034067,0.757790
